list_number,list_description_en,list_description_uk,code,description_en,description_uk,notes
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kir,Kirghiz; Kyrgyz,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kqs,"Kissi, Northern",,"Kisi (Guinean language). ONIX local code, equivalent to kqs in ISO 639-3. Only for use in ONIX 3.0 or later. Do not confuse with Kisi (Tanzanian language)"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kss,"Kissi, Southern",,"Kisi (Liberian language). ONIX local code, equivalent to kss in ISO 639-3. Only for use in ONIX 3.0 or later. Do not confuse with Kisi (Tanzanian language)"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tlh,Klingon; tlhIngan-Hol,,Artificial language
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kom,Komi,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kon,Kongo,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kok,Konkani,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kor,Korean,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kpe,Kpelle,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kro,Kru languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kua,Kuanyama; Kwanyama,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kum,Kumyk,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kur,Kurdish,,Macrolanguage. See also ckb (Central Kurdish)
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kru,Kurukh,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kos,Kusaiean (Caroline Islands),,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kut,Kutenai,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,fkv,Kvensk,,"ONIX local code, equivalent to fkv in ISO 639-3"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,kwk,Kwakiutl,,"ONIX local code, equivalent to kwk in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lad,Ladino,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lah,Lahnda,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lkt,Lakota,,"Teton, Teton Sioux. ONIX local code, equivalent to lkt in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lam,Lamba,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,day,Land Dayak languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lao,Lao,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lat,Latin,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lav,Latvian,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,qlk,Lemko,,"ONIX local code, distinct dialect of Rusyn (not distinguished from rue by ISO 639-3). Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lez,Lezgian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lij,Ligurian,,"ONIX local code for Italian dialect, equivalent to lij in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lim,Limbergan; Limburger; Limburgish,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lin,Lingala,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lit,Lithuanian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,jbo,Lojban,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lom,Loma (Liberia),,"ONIX local code for Liberian language, equivalent to lom in ISO 639-3. See also Toma for the closely-related Guinean variant. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lmo,Lombard,,"ONIX local code for Italian dialect, equivalent to lmo in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nds,Low German; Low Saxon,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,dsb,Lower Sorbian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,loz,Lozi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lub,Luba-Katanga,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lua,Luba-Lulua,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lui,Luiseño,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,smj,Lule Sami,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lun,Lunda,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,luo,Luo (Kenya and Tanzania),,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lus,Lushai,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ltz,Luxembourgish; Letzeburgesch,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mac,Macedonian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mad,Madurese,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mag,Magahi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mai,Maithili,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mak,Makasar,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mlg,Malagasy,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,may,Malay,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mal,Malayalam,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,poz,Malayo-Polynesian languages,,"Collective name. ONIX local code, equivalent of poz in ISO 639-5. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mlt,Maltese,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mnc,Manchu,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mdr,Mandar,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,cmn,Mandarin,,"ONIX local code, equivalent to cmn in ISO 639-3"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,man,Mandingo,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mni,Manipuri,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mno,Manobo languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,glv,Manx,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,swb,Maore Comorian,,"Shimaore. ONIX local code, equivalent to swb in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mao,Maori,,Māori
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,arn,Mapudungun; Mapuche,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mar,Marathi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,chm,Mari,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mah,Marshallese,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mwr,Marwari,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mas,Masai,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,myn,Mayan languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,fit,Meänkieli / Tornedalen Finnish,,"ONIX local code, equivalent to fit in ISO 639-3"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,men,Mende,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mic,Mi’kmaq; Micmac; Mi’gmaw,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,crg,Michif,,"ONIX local code, equivalent to crg in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,gml,Middle Low German,,"ONIX local code, equivalent to gml in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,min,Minangkabau,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mwl,Mirandese,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,moh,Mohawk,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mdf,Moksha,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mol,Moldavian; Moldovan,,Deprecated – use rum
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mkh,Mon-Khmer languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,lol,Mongo-Nkundu,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mon,Mongolian,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,cnr,Montenegrin,,Only for use in ONIX 3.0 or later
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mos,Mooré; Mossi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,crm,Moose Cree,,"ONIX local code, equivalent to crm in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mun,Munda languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mwf,Murrinh-Patha,,"ONIX local code, equivalent to mwf in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nqo,N’Ko,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nah,Nahuatl languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nsk,Naskapi,,"ONIX local code, equivalent to nsk in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nau,Nauruan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nav,Navajo; Navaho,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nde,"Ndebele, North",,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nbl,"Ndebele, South",,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ndo,Ndonga,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nap,Neapolitan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nep,Nepali,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,qls,Neutral Latin American Spanish,,"ONIX local code, distinct and exclusively spoken variation of Spanish, not distinguished from spa (Spanish, Castilian) by ISO 639-3. Neutral Latin American Spanish should be considered a ‘shorthand’ for spa plus a ‘country code’ for Latin America – but prefer spa plus the relevant country code for specifically Mexican Spanish, Argentine (Rioplatense) Spanish, Puerto Rican Spanish etc. Neutral Latin American Spanish must only be used with audio material (including the audio tracks of TV, video and film) to indicate use of accent, vocabulary and construction suitable for broad use across Latin America. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,new,Newari; Nepal Bhasa,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nia,Nias,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nic,Niger-Kordofanian languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ssa,Nilo-Saharan languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,niu,Niuean,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nog,Nogai,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,qnf,Norman French,,"Normand, of which Guernésiais, Jèrriais are distinct dialects. ONIX local code (not distinguished from nrf in ISO 639-3). Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nai,North American Indian languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,crl,Northern East Cree,,"ONIX local code, equivalent to crl in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,frr,Northern Frisian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sme,Northern Sami,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nor,Norwegian,,"Macrolanguage. See also nob (Bokmål), nno (Nynorsk)"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nob,Norwegian Bokmål,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nno,Norwegian Nynorsk,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nub,Nubian languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nym,Nyamwezi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nyn,Nyankole,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nyo,Nyoro,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nzi,Nzima,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,oci,Occitan (post-1500),,See also qar (Aranés)
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,arc,Official Aramaic; Imperial Aramaic (700-300 BCE),,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,oji,Ojibwa,,Macrolanguage. See also ojs (Severn Ojibwa)
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,oka,Okanagan; Nsyilxcn / Nsyilxcən,,"Colville-Okanagan. ONIX local code, equivalent to oka in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,odt,Old Dutch / Old Low Franconian (ca. 400–1050),,"ONIX local code, equivalent to odt in ISO 639-3"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,non,Old Norse,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,peo,Old Persian (ca. 600-400 B.C.),,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ood,O’odham,,"Tohono O’odham, Akimel Oʼodham. ONIX local code, equivalent to ood in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ori,Oriya,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,orm,Oromo,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,osa,Osage,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,oss,Ossetian; Ossetic,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,omq,Oto-Manguean languages,,"ONIX local code, equivalent to omq in ISO 639-5. Collective name"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,oto,Otomian languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pal,Pahlavi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pau,Palauan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pli,Pali,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pam,Pampanga; Kapampangan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pag,Pangasinan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pan,Panjabi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pap,Papiamento,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,paa,Papuan languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,nso,Pedi; Sepedi; Northern Sotho,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,per,Persian,,"Macrolanguage. See also pes (Iranian Persian, Farsi), prs (Dari)"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,phi,Philippine languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,phn,Phoenician,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pcd,Picard,,"ONIX local code, distinct variant of langue d’oïl (old northern French), equivalent to pcd in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,qsp,Picture Communication Symbols (PCS),,"ONIX local code for graphical symbols used in augmentative and alternative communication and education, not listed in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pms,Piedmontese,,"ONIX local code for Italian dialect, equivalent to pms in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,crk,Plains Cree,,"ONIX local code, equivalent to crk in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pol,Polish,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pon,Ponapeian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,por,Portuguese,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pra,Prakrit languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pro,"Provençal, Old (to 1500); Occitan, Old (to 1500)",,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,fuf,Pular,,"ONIX local code, equivalent to fuf in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,pus,Pushto; Pashto,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,que,Quechua,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,raj,Rajasthani,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rjs,Rajbanshi,,"Tajpuria. ONIX local code, equivalent to rjs in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rkt,Rangpuri,,"Bahe. ONIX local code, equivalent to rkt in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rap,Rapanui,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rar,Rarotongan; Cook Islands Maori,,Māori Kūki ʻĀirani
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rcf,Réunion Creole French,,"ONIX local code, equivalent to rcf in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rgn,Romagnol,,"ONIX local code for Italian dialect, equivalent to rgl in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,roa,Romance languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rum,Romanian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,roh,Romansh,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rom,Romany,,Romani. Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,run,Rundi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rus,Russian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sal,Salishan languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sam,Samaritan Aramaic,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,smi,Sami languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,smo,Samoan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sad,Sandawe,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sag,Sango,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,san,Sanskrit,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sat,Santali,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,srm,Saramaccan,,"ONIX local code for Saramaccan language, equivalent to srm in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,srd,Sardinian,,"Macrolanguage. See also sdc (Sassarese), sdn (Gallurese), sro (Campidanese)"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sas,Sasak,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sdc,Sassarese,,"ONIX local code for Sardinian dialect, equivalent to sdc in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sco,Scots,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,gla,Scottish Gaelic,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sel,Selkup,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sem,Semitic languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,scc,Serbian,,Deprecated – use srp
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,srp,Serbian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,srr,Serer,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ojs,Severn Ojibwa,,"ONIX local code, equivalent to ojs in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,shn,Shan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sna,Shona,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,shs,Shuswap,,"ONIX local code, equivalent to shs in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,iii,Sichuan Yi; Nuosu,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,scn,Sicilian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sid,Sidamo,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sgn,Sign languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,bla,Siksika,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,szl,Silesian,,"ONIX local code, equivalent to szl in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,snd,Sindhi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sin,Sinhala; Sinhalese,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,zhx,Sinitic languages,,"Chinese (family) languages. Collective name. ONIX local code, equivalent of zhx in ISO 639-5. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sit,Sino-Tibetan languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sio,Siouan languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sms,Skolt Sami,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,den,Slave (Athapascan),,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sla,Slavic languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,slo,Slovak,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,slv,Slovenian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sog,Sogdian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,som,Somali,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,son,Songhai languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,snk,Soninke,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,wen,Sorbian languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sot,Sotho; Sesotho,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sai,South American Indian languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,alt,Southern Altai,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,crj,Southern East Cree,,"ONIX local code, equivalent to crj in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sma,Southern Sami,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,spa,Spanish,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,srn,Sranan Tongo,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,zgh,Standard Moroccan Tamazight,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sto,Stoney,,"ONIX local code, equivalent to sto in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,suk,Sukuma,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sux,Sumerian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sun,Sundanese,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sus,Susu,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,swa,Swahili,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,csw,Swampy Cree,,"ONIX local code, equivalent to csw in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ssw,Swazi; Swati,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,swe,Swedish,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,gsw,Swiss German; Alemannic; Alsatian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,syr,Syriac,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tgl,Tagalog,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tah,Tahitian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tai,Tai languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tgk,Tajik; Tajiki Persian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tmh,Tamashek,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tam,Tamil,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,shi,Tashelhit; Shilha,,"ONIX local code, equivalent to shi in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tat,Tatar,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tel,Telugu,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tem,Temne; Time,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ter,Terena,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tet,Tetum,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tha,Thai,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,thp,Thompson,,"Nla’kapamux. ONIX local code, equivalent to thp in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tib,Tibetan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tig,Tigré,,
